OBJECTID,HUC12,Name,AqHabRank,AqHabSWNorm,AqHabTot,AnadHab,Riparian,Lakes,FreshWetld,MeadowFEW,Ponds,SeepSpring,VernalPool,SaltWetld,Shape_Length,Shape_Area
1,1.80E+11,Gilsizer Slough-Snake River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,175573.482,700428926.9
2,1.81E+11,Corralitos Canyon,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,90709.97306,157979086.7
3,1.80E+11,Raynor Creek-Chowchilla River,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,166396.0727,158683189.9
4,1.81E+11,Mission Beach-Frontal Pacific Ocean,3,0.6,3,N,Y,N,Y,Y,Y,N,Y,Y,140223.5505,48712514.08
5,1.81E+11,Fortymile Wash,0,0,0,N,N,N,N,N,N,N,N,N,17300.38394,4470205.43
6,1.80E+11,Cooksie Creek-Frontal Pacific Ocean,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,64182.63953,80264789.24
7,1.80E+11,North Fork Mattole River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,49374.14974,97791914.45
8,1.80E+11,Salt River,4,0.8,4,Y,Y,N,Y,Y,Y,N,N,Y,49781.12694,110704876.7
9,1.80E+11,Price Creek-Eel River,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,59581.67482,109122139.3
10,1.80E+11,Little Salmon Creek-Salmon Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,41606.81906,47852651.27
11,1.80E+11,Humboldt Bay,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,102302.9494,192367972.3
12,1.80E+11,Lake Earl,4,0.8,4,N,Y,Y,Y,Y,Y,N,N,Y,46538.61182,75101714.43
13,1.80E+11,Rowdy Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,49497.52854,85689484.91
14,1.80E+11,Virgin Creek-Frontal Pacific Ocean,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,51017.43721,39560155.17
15,1.80E+11,Sprout Creek,1,0.2,1,Y,N,N,N,N,N,N,N,N,41927.29794,62147494.89
16,1.80E+11,Fish Creek-South Fork Eel River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,33834.27219,58953268.76
17,1.80E+11,Redwood Creek,2,0.4,2,Y,N,N,Y,Y,N,N,N,N,39916.6018,67274450.77
18,1.80E+11,Ohman Creek-South Fork Eel River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,62683.38409,137086166.6
19,1.80E+11,Monument Creek-Eel River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,38614.72489,62836801.49
20,1.80E+11,Lower Larabee Creek,3,0.6,3,Y,Y,N,Y,N,Y,N,N,N,54681.25668,104165741.4
21,1.80E+11,Mill Creek-Mad River,4,0.8,4,Y,Y,N,Y,Y,Y,N,N,Y,60670.02919,80116776.87
22,1.80E+11,Jacoby Creek,4,0.8,4,Y,Y,N,Y,Y,Y,N,N,Y,42532.16539,52305339.56
23,1.80E+11,North Fork Mad River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,55334.84582,125887577.3
24,1.80E+11,Mettah Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,64264.67742,90662153.25
25,1.80E+11,Pecwan Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,39695.59094,71377520.99
26,1.80E+11,Wilson Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,32790.53438,34406655.5
27,1.80E+11,Hardscrabble Creek-Smith River,1,0.2,1,N,Y,N,N,N,N,N,N,N,40956.24291,72015733.3
28,1.80E+11,Rock Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,30682.00969,41681460.67
29,1.80E+11,Hurdygurdy Creek,3,0.6,3,N,Y,Y,Y,N,Y,N,N,N,56527.4421,77447384.9
30,1.80E+11,South Fork Big River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,68012.4681,141279054.6
31,1.80E+11,Long Valley Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,45609.60782,69121470.82
32,1.80E+11,Upper Noyo River,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,41662.49351,70446164.98
33,1.80E+11,Hollow Tree Creek,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,55219.86008,108109370.6
34,1.80E+11,Pipe Creek-Eel River,2,0.4,2,Y,N,N,Y,N,Y,N,N,N,61113.35775,101896324.5
35,1.80E+11,Baker Creek-Van Duzen River,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,57395.031,104059233.1
36,1.80E+11,Bug Creek-Mad River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,61840.05975,132250957.9
37,1.80E+11,Willow Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,56364.76651,112445396.4
38,1.80E+11,Deerhorn Creek-Trinity River,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,42262.5901,69250075.62
39,1.80E+11,Tish Tang a Tang Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,47034.13989,77443482.6
40,1.80E+11,Boise Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,64327.23232,126936899.6
41,1.80E+11,Rock Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,45090.23589,86170942.56
42,1.80E+11,Swillup Creek-Klamath River,2,0.4,2,N,Y,Y,N,N,N,N,N,N,34787.04238,61381388.96
43,1.80E+11,Tenmile Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,29034.45653,40729864.12
44,1.71E+11,Lower East Fork Illinois River,0,0,0,N,N,N,N,N,N,N,N,N,7505.832776,929684.5762
45,1.80E+11,Buckeye Creek,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,55583.92412,104181284.9
46,1.80E+11,Burright Creek-East Fork Russian River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,56202.92551,120428406.6
47,1.80E+11,Goforth Creek-Middle Fork Eel River,3,0.6,3,Y,N,Y,Y,Y,N,N,N,N,31384.60964,42089612.66
48,1.80E+11,Lower Tomki Creek,3,0.6,3,Y,Y,Y,N,N,N,N,N,N,53811.66267,82492244.49
49,1.80E+11,Woodman Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,36642.159,64983837.73
50,1.80E+11,Big Bend Creek-Eel River,2,0.4,2,Y,N,N,Y,Y,Y,N,N,N,50742.29154,85352600.64
51,1.80E+11,Casoose Creek,1,0.2,1,N,N,N,Y,N,Y,N,N,N,37909.29177,64498057.01
52,1.80E+11,Barry Creek-Mad River,1,0.2,1,N,Y,N,N,N,N,N,N,N,48549.12443,112915846.2
53,1.80E+11,Salt Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,74483.2864,149164135.1
54,1.80E+11,Crapo Creek-Salmon River,1,0.2,1,N,N,N,Y,Y,N,N,N,N,46209.89582,64681452.44
55,1.80E+11,Upper North Fork Trinity River,3,0.6,3,N,Y,Y,Y,N,Y,N,N,N,54895.23909,94759731.04
56,1.80E+11,Butler Creek-Salmon River,1,0.2,1,N,N,N,Y,Y,N,N,N,N,50524.08343,94736517.84
57,1.80E+11,Oak Flat Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,41981.49054,84756745.47
58,1.80E+11,Grider Creek,2,0.4,2,N,Y,Y,N,N,N,N,N,N,57763.72332,111629043.4
59,1.80E+11,Bittenbender Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,75605.86337,143311202.4
60,1.71E+11,Carberry Creek,0,0,0,N,N,N,N,N,N,N,N,N,4805.665973,785330.3731
61,1.81E+11,Abbotts Lagoon-Frontal Pacific Ocean,4,0.8,4,N,Y,Y,Y,Y,Y,N,N,Y,81537.58838,43421707.14
62,1.81E+11,Tomales Bay,4,0.8,4,Y,Y,N,Y,Y,Y,N,N,Y,73146.59296,120215358.8
63,1.81E+11,Estero De San Antonio,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,73633.38888,134077847.4
64,1.80E+11,Ward Creek-Austin Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,56637.11595,98481017.96
65,1.80E+11,Lake Sonoma-Dry Creek,3,0.6,3,N,Y,Y,Y,N,Y,N,N,N,63524.39518,112699958.4
66,1.80E+11,Warm Springs Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,54879.0679,88741355.11
67,1.80E+11,Gill Creek-Russian River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,60398.72063,105274896.7
68,1.80E+11,West Slough-Dry Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,69389.661,109556590.1
69,1.80E+11,Sausal Creek-Russian River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,54776.6795,119971858.7
70,1.80E+11,Dooley Creek,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,35983.52269,40635289.95
71,1.80E+11,Clover Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,43448.27418,71528089.36
72,1.80E+11,Baldy Creek-Black Butte River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,41733.00798,93099777.33
73,1.80E+11,Red Chert Creek-Middle Fork Eel River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,38403.15928,60216387.22
74,1.80E+11,Headwaters Grindstone Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,49534.30259,99666895.14
75,1.80E+11,Balm of Gilead Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,35219.68544,55664667.27
76,1.80E+11,South Fork Beegum Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,44348.92666,88249985.48
77,1.80E+11,Lower Beegum Creek,1,0.2,1,Y,N,N,N,N,N,N,N,N,49995.5976,65323834.93
78,1.80E+11,Upper Cold Fork,2,0.4,2,Y,Y,N,N,N,N,N,N,N,63683.45872,102744025.8
79,1.80E+11,Conner Creek Trinity River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,68303.31225,155801502.8
80,1.80E+11,Lower Browns Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,47145.25558,87110297.98
81,1.80E+11,Upper Canyon Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,45843.30841,74322849.34
82,1.80E+11,Garden Gulch-South Fork Salmon River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,57589.91564,96394308.23
83,1.80E+11,Sugar Creek-Scott River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,58188.84489,101035436.9
84,1.80E+11,Boulder Creek-Scott River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,32532.85763,51959311.96
85,1.80E+11,French Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,44588.24173,86241313.14
86,1.80E+11,Tompkins Creek-Scott River,1,0.2,1,N,Y,N,N,N,N,N,N,N,43495.2215,71366371.8
87,1.80E+11,Little Humbug Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,35884.20089,50017274.36
88,1.71E+11,Dutch Creek-Elliott Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,39175.06457,66219953.31
89,1.81E+11,San Pedro Creek-Frontal Pacific Ocean,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,73692.79349,80831448.12
90,1.81E+11,Miller Creek-Frontal San Pablo Bay Estuaries,5,1,5,Y,Y,Y,Y,Y,N,N,N,Y,79152.79402,74905793.29
91,1.81E+11,Petaluma River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,51634.34913,116185899.3
92,1.81E+11,Adobe Creek-Frontal San Pablo Bay Estuaries,5,1,5,Y,Y,Y,Y,Y,Y,N,Y,Y,84988.06473,80158626.98
93,1.80E+11,Maacama Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,59221.56609,119951510.2
94,1.80E+11,Big Canyon Creek-Putah Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,65132.7702,84426757.4
95,1.80E+11,Thurston Lake,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,37503.81907,46658108.94
96,1.80E+11,Twin Valley Creek-North Fork Cache Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,55097.19472,103696399.6
97,1.80E+11,Middle Fork Stony Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,43342.59277,82615407.33
98,1.80E+11,Lower Grindstone Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,58527.10993,92045085.23
99,1.80E+11,Middle Dry Creek,0,0,0,N,N,N,N,N,N,N,N,N,59372.32491,64458083.69
100,1.80E+11,Middle East Fork Trinity River,3,0.6,3,N,Y,Y,Y,Y,Y,Y,N,N,31814.77668,51587067.49
101,1.80E+11,McAdam Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,44736.53791,69684050.08
102,1.80E+11,Humbug Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,43823.46194,95685363.03
103,1.80E+11,Bunton Hollow Creek-Shasta River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,60516.05015,106749727.6
104,1.81E+11,Arroyo Leon,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,50685.10762,74431330.8
105,1.81E+11,Cordileras Creek-Frontal San Francisco Bay Estuaries,5,1,5,Y,Y,Y,Y,Y,N,N,N,Y,73657.8163,113762799.9
106,1.81E+11,Angel Island-San Francisco Bay Estuaries,5,1,5,Y,Y,Y,Y,Y,Y,N,N,Y,320713.9133,61639969.19
107,1.81E+11,American Canyon Creek-Frontal San Pablo Bay Estuaries,4,0.8,4,N,Y,Y,Y,Y,N,N,N,Y,74583.57558,78346385.77
108,1.81E+11,Pinole Creek-Frontal San Pablo Bay Estuaries,4,0.8,4,N,Y,Y,Y,Y,Y,N,N,Y,139784.509,145712442.9
109,1.81E+11,Chiles Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,57600.07332,82972726.31
110,1.80E+11,Upper Eticuera Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,42355.34509,66937567.06
111,1.80E+11,Funks Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,75973.18274,75287864.16
112,1.80E+11,Middle South Fork Willow Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,110395.8098,87455630.77
113,1.80E+11,Sour Grass Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,46383.93813,63949720.83
114,1.80E+11,Jewett Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,64697.71515,43761224.83
115,1.80E+11,Pine Creek-South Fork Cottonwood Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,Y,N,50466.89057,66356557.7
116,1.80E+11,Spring Creek-Sacramento River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,68641.33498,105525410.9
117,1.80E+11,Olney Creek-Sacramento River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,50804.20761,85581559.53
118,1.80E+11,Basin Hollow Creek-Cow Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,63052.97606,60244709.46
119,1.80E+11,Mosquito Creek-Sacramento River,1,0.2,1,N,Y,N,N,N,N,N,N,N,36742.19043,37388797.8
120,1.80E+11,Charlie Creek-Sacramento River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,45218.81754,74556494.59
121,1.80E+11,Deer Creek-Sacramento River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,55937.10657,81477106.78
122,1.80E+11,Hazel Creek,1,0.2,1,N,Y,N,N,N,N,N,N,N,35014.44289,56816651.12
123,1.80E+11,Tuna Creek-McCloud River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,27909.81823,39910041.15
124,1.80E+11,Big Springs Creek-Shasta River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,95891.59982,115877822.7
125,1.80E+11,Brush Creek-Klamath River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,59482.76501,89503263.03
126,1.81E+11,San Jose Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,36611.43123,37229512.2
127,1.81E+11,Zayante Creek-San Lorenzo River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,55782.32248,140891245.3
128,1.81E+11,Lower Penitencia Creek-Frontal San Francisco Bay Estuaries,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,44922.0084,78746877.06
129,1.81E+11,Pine Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,46374.03159,80805471.71
130,1.81E+11,Suisun Bay Islands,5,1,5,Y,Y,Y,Y,Y,N,N,N,Y,56660.43924,10525348.72
131,1.81E+11,Suisun Bay,5,1,5,Y,Y,Y,Y,Y,N,N,Y,Y,178514.9407,122714229.2
132,1.81E+11,Ledgewood Creek,4,0.8,4,N,Y,Y,Y,Y,N,N,Y,Y,41029.33084,45687898.71
133,1.80E+11,Salt Creek,2,0.4,2,N,Y,N,Y,Y,N,N,Y,N,37895.47126,57702164.55
134,1.80E+11,McCune Creek-Putah Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,73022.25761,77865201.73
135,1.80E+11,Oat Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,67662.71226,71755325.86
136,1.80E+11,Angel Slough,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,100416.5826,68304292.12
137,1.80E+11,Drumheller Slough-Butte Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,199506.1634,720055069.4
138,1.80E+11,Little Chico Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,106102.2769,121751094.4
139,1.80E+11,Hoag Slough-Sacramento River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,97727.88503,116623411.6
140,1.80E+11,Brush Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,33985.09959,51494945.53
141,1.80E+11,Upper Paynes Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,62936.51184,66435901.88
142,1.80E+11,Lower South Cow Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,Y,N,67187.72686,122519538.3
143,1.80E+11,Clover Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,95597.29935,139118332.3
144,1.80E+11,Cedar Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,55003.73572,60957297.33
145,1.80E+11,Bald Mountain Creek-McCloud River,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,50061.1464,69235844.23
146,1.80E+11,Blue Canyon,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,30505.48535,53223961.58
147,1.80E+11,Trout Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,53078.02602,75550590.56
148,1.81E+11,Limekiln Creek-Frontal Pacific Ocean,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,77958.84965,102809863
149,1.81E+11,Tularcitos Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,58780.12808,145763900.9
150,1.81E+11,Cachagua Creek,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,56216.89735,121158587.5
151,1.81E+11,Canyon Del Rey,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,41025.64097,51204828.56
152,1.81E+11,Watsonville Slough Frontal,4,0.8,4,N,Y,Y,Y,Y,Y,N,N,Y,45990.74366,62444044.84
153,1.81E+11,San Felipe Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,67263.30603,128305652.3
154,1.81E+11,Middle Fork Coyote Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,43127.05519,58955395.32
155,1.81E+11,Dry Creek-Arroyo Valle,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,54152.74361,55957500.65
156,1.80E+11,Beaver Lake-Sacramento River,5,1,5,Y,Y,Y,Y,Y,N,N,N,Y,97113.0181,115064445
157,1.80E+11,Pleasant Grove Creek Canal-Cross Canal,3,0.6,3,Y,Y,N,Y,Y,Y,N,Y,N,83096.22519,117312028.2
158,1.80E+11,Oregon Gulch-Feather River,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,107837.1096,120084395.8
159,1.80E+11,Hamlin Slough,2,0.4,2,N,Y,N,Y,Y,N,N,Y,N,63849.90738,108803404.2
160,1.80E+11,Upper South Fork Battle Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,57941.91365,96486885.63
161,1.80E+11,Glendenning Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,33042.97153,54185802.12
162,1.80E+11,Upper South Cow Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,45652.39649,81801037.22
163,1.80E+11,Panther Creek,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,35648.97316,44216488.03
164,1.80E+11,Bailey Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,72170.12128,83979145.39
165,1.80E+11,Green Burney Creek-Burney Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,45950.09611,75448989.71
166,1.80E+11,McCloud River Headwaters,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,34912.99425,59658498.33
167,1.80E+11,Upper Bear Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,64471.13982,107981912.2
168,1.80E+11,Willow Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,104203.7846,165020258.6
169,1.80E+11,Klamath Strait Drain,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,76601.24691,45427033.94
170,1.81E+11,Santa Lucia Creek,2,0.4,2,Y,Y,N,N,N,N,N,N,N,37630.11215,47641766.88
171,1.81E+11,Forest Creek-San Antonio River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,59911.77651,112063432.3
172,1.81E+11,Mission Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,46605.50039,52489774.19
173,1.81E+11,Shirttail Gulch-Salinas River,3,0.6,3,Y,Y,N,Y,Y,Y,N,N,N,60202.44487,92482529.07
174,1.81E+11,Stonewall Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,39697.43317,41821908.75
175,1.81E+11,Santa Ana Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,78974.58561,136448787.1
176,1.81E+11,East Fork Coyote Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,72156.37105,103891622.5
177,1.81E+11,Upper North Fork Pacheco Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,57894.89214,69116378.82
178,1.81E+11,Upper Pacheco Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,N,N,41226.30013,48512526.47
179,1.80E+11,Red Creek-South Fork Orestimba Creek,1,0.2,1,N,N,N,Y,Y,N,N,N,N,50926.58705,63382068.07
180,1.80E+11,Quinto Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,67721.10212,78900664.55
181,1.80E+11,Burns Cutoff-San Joaquin River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,44429.00506,45779764.49
182,1.80E+11,Grizzly Slough-Cosumnes River,5,1,5,Y,Y,Y,Y,Y,Y,N,Y,Y,74030.67733,91020124.05
183,1.80E+11,Laguna Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,92775.66045,124584628.1
184,1.80E+11,Lower Deer Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,107703.0409,117542264.5
185,1.80E+11,Ping Slough-Coon Creek,4,0.8,4,Y,Y,Y,Y,Y,Y,N,Y,N,67892.7186,141429756.7
186,1.80E+11,Woods Creek-Yuba River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,60292.78436,86360577.87
187,1.80E+11,Middle Dry Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,53710.3944,103329321.9
188,1.80E+11,Vineyard Creek-Dry Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,57613.01662,127263724.5
189,1.80E+11,Lost Creek-Deer Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,59342.88654,78946788.4
190,1.80E+11,Warner Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,79790.6619,114889417.5
191,1.80E+11,Tule River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,70163.85363,143238152.5
192,1.80E+11,Double Head Mountain,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,63156.88366,139822337
193,1.81E+11,San Simeon Creek,4,0.8,4,Y,Y,N,Y,Y,N,N,N,Y,47746.42134,83241774.59
194,1.81E+11,Nacimiento Reservoir-Nacimiento River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,48890.45137,87144426.65
195,1.81E+11,Topo Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,61743.48309,101799056.9
196,1.81E+11,Sweetwater Canyon,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,47263.76122,54185677
197,1.80E+11,Ortigalita Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,59239.23528,72006330.96
198,1.80E+11,O'Neill Forebay-San Luis Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,38027.16676,49878990.5
199,1.80E+11,Mud Slough,4,0.8,4,N,Y,Y,Y,Y,Y,N,Y,Y,123207.5807,204036501.2
200,1.80E+11,Simmons Creek-Littlejohns Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,121626.2624,114725266.3
201,1.80E+11,Magnolia Creek-Bear River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,77333.04263,118091597.7
202,1.80E+11,Slate Creek,3,0.6,3,N,Y,Y,Y,Y,Y,Y,N,N,88092.78504,159144212
203,1.80E+11,Poison Lake,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,47934.20991,98736013.99
204,1.81E+11,Headwaters Susan River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,64719.01074,75974722.91
205,1.80E+11,Little Valley-Horse Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,41747.3524,68454245.79
206,1.80E+11,Clarks Valley-Pit River,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,32123.81241,42133149.54
207,1.80E+11,South Fork Juniper Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,43189.57092,58015211.55
208,1.80E+11,Big Swamp-Ash Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,86638.78474,175460353.5
209,1.80E+11,Lone Pine Butte,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,58271.24714,137114311.2
210,1.80E+11,Boles Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,69156.42462,75372919.78
211,1.81E+11,Willow Creek-Frontal Pacific Ocean,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,39925.96762,19277755.89
212,1.81E+11,Morro Creek,3,0.6,3,Y,Y,N,Y,Y,N,N,N,N,46954.8576,62326398.25
213,1.81E+11,Kemp Canyon-San Antonio River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,49407.15153,55678408.69
214,1.81E+11,North Fork Lewis Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,38549.58987,53707947.99
215,1.80E+11,Upper Poso Slough,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,146891.6288,301964664.4
216,1.80E+11,City of Winton-Bear Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,69013.18753,210039569.8
217,1.80E+11,McCarty Creek-Littlejohns Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,44199.6216,60414643
